sym,exit,reason,pnl
RSPY,2026-06-03 16:00:00+00:00,channel_exit,-18.661549418374534
RQQQ,2026-06-04 08:00:00+00:00,channel_exit,-35.63027961195189
RTSLA,2026-06-16 00:00:00+00:00,channel_exit,-6.802745682933278
RSPY,2026-06-17 16:00:00+00:00,channel_exit,-33.52295157176741
RTSLA,2026-06-22 00:00:00+00:00,channel_exit,-52.95538932567342
RQQQ,2026-06-23 04:00:00+00:00,channel_exit,-50.493944324525955
RTSLA,2026-06-23 12:00:00+00:00,channel_exit,-96.82040196988896
RAAPL,2026-06-24 20:00:00+00:00,channel_exit,-63.006266453929356
RQQQ,2026-07-02 16:00:00+00:00,channel_exit,-69.0847517338002
RTSLA,2026-07-02 16:00:00+00:00,trailing_stop,-39.92817697135172
RTSLA,2026-07-13 00:00:00+00:00,channel_exit,-79.21127151694714
RQQQ,2026-07-13 04:00:00+00:00,channel_exit,-34.48998822282692
RSPY,2026-07-17 00:00:00+00:00,channel_exit,6.421526257047844
RAAPL,2026-07-20 12:00:00+00:00,channel_exit,237.52432600995257
RQQQ,2026-07-23 12:00:00+00:00,channel_exit,-37.460304385178006
RSPY,2026-07-29 12:00:00+00:00,channel_exit,-36.12100772801182
RAAPL,2026-07-30 12:00:00+00:00,channel_exit,-14.161971720039219
RQQQ,2026-08-10 20:00:00+00:00,channel_exit,77.11744682363815
RSPY,2026-08-11 16:00:00+00:00,channel_exit,56.094945323537786
RTSLA,2026-08-12 12:00:00+00:00,channel_exit,39.55176714393269
RSPY,2026-08-17 16:00:00+00:00,channel_exit,-20.79853702996411
RQQQ,2026-08-18 00:00:00+00:00,channel_exit,-26.244547389517265
RTSLA,2026-08-18 00:00:00+00:00,channel_exit,-31.979345209326766
